W,Q2,eps,phi,cos_th,cs,dcs
1.775,1.8,0.838,67.5,-0.3,30.217,5.728
1.775,1.8,0.838,112.5,-0.3,50.585,10.064
1.775,1.8,0.838,157.5,-0.3,26.265,4.92
1.775,1.8,0.838,-157.5,-0.1,20.265,4.757
1.775,1.8,0.838,-112.5,-0.1,26.54,7.929
1.775,1.8,0.838,-67.5,-0.1,23.157,5.805
1.775,1.8,0.838,-22.5,-0.1,26.691,8.854
1.775,1.8,0.838,22.5,-0.1,24.942,8.553
1.775,1.8,0.838,67.5,-0.1,20.015,5.39
1.775,1.8,0.838,112.5,-0.1,37.322,9.428
1.775,1.8,0.838,157.5,-0.1,17.529,4.422
1.775,1.8,0.838,-157.5,0.1,35.995,6.186
1.775,1.8,0.838,-112.5,0.1,35.045,8.477
1.775,1.8,0.838,-67.5,0.1,31.614,6.967
1.775,1.8,0.838,-22.5,0.1,24.387,8.655
1.775,1.8,0.838,22.5,0.1,23.595,8.511
1.775,1.8,0.838,67.5,0.1,30.587,6.85
1.775,1.8,0.838,112.5,0.1,37.37,8.759
1.775,1.8,0.838,157.5,0.1,23.174,4.948
1.775,1.8,0.838,-157.5,0.3,32.728,6.063
1.775,1.8,0.838,-112.5,0.3,25.155,7.149
1.775,1.8,0.838,-67.5,0.3,29.992,8.798
1.775,1.8,0.838,-22.5,0.3,29.962,10.514
1.775,1.8,0.838,22.5,0.3,17.886,8.1
1.775,1.8,0.838,67.5,0.3,29.156,8.672
1.775,1.8,0.838,112.5,0.3,26.435,7.33
1.775,1.8,0.838,157.5,0.3,26.972,5.499
1.775,1.8,0.838,-157.5,0.5,33.469,5.594
1.775,1.8,0.838,-112.5,0.5,37.691,7.982
1.775,1.8,0.838,-67.5,0.5,26.712,12.679
1.775,1.8,0.838,-22.5,0.5,30.817,7.936
1.775,1.8,0.838,22.5,0.5,21.7,6.646
1.775,1.8,0.838,67.5,0.5,48.684,17.227
1.775,1.8,0.838,112.5,0.5,25.665,6.575
1.775,1.8,0.838,157.5,0.5,27.517,5.067
1.775,1.8,0.838,-157.5,0.675,38.613,6.632
1.775,1.8,0.838,-112.5,0.675,42.546,8.183
1.775,1.8,0.838,-67.5,0.675,46.205,12.703
1.775,1.8,0.838,-22.5,0.675,33.803,7.357
1.775,1.8,0.838,22.5,0.675,53.091,9.267
1.775,1.8,0.838,67.5,0.675,41.241,11.985
1.775,1.8,0.838,112.5,0.675,37.62,7.688
1.775,1.8,0.838,157.5,0.675,48.883,7.473
1.775,1.8,0.838,-157.5,0.825,46.635,8.129
1.775,1.8,0.838,-112.5,0.825,34.916,7.451
1.775,1.8,0.838,-67.5,0.825,40.23,8.224
1.775,1.8,0.838,-22.5,0.825,40.188,7.074
1.775,1.8,0.838,22.5,0.825,47.328,7.689
1.775,1.8,0.838,67.5,0.825,44.259,8.633
1.775,1.8,0.838,112.5,0.825,44.057,8.38
1.775,1.8,0.838,157.5,0.825,36.306,7.164
1.775,1.8,0.838,-157.5,0.95,25.545,9.629
1.775,1.8,0.838,-112.5,0.95,33.038,11.639
1.775,1.8,0.838,-67.5,0.95,23.32,9.478
1.775,1.8,0.838,-22.5,0.95,32.734,10.615
1.775,1.8,0.838,22.5,0.95,36.78,11.258
1.775,1.8,0.838,67.5,0.95,27.12,10.225
1.775,1.8,0.838,112.5,0.95,22.439,9.583
1.775,1.8,0.838,157.5,0.95,29.067,10.274
1.825,1.8,0.825,-157.5,-0.775,16.382,4.909
1.825,1.8,0.825,-112.5,-0.775,13.231,5.604
1.825,1.8,0.825,-67.5,-0.775,21.337,6.659
1.825,1.8,0.825,-22.5,-0.775,17.865,10.892
1.825,1.8,0.825,22.5,-0.775,18.264,11.016
1.825,1.8,0.825,67.5,-0.775,21.699,6.717
1.825,1.8,0.825,112.5,-0.775,19.73,6.861
1.825,1.8,0.825,157.5,-0.775,9.99,3.824
1.825,1.8,0.825,-157.5,-0.525,9.657,3.08
1.825,1.8,0.825,-112.5,-0.525,27.73,6.034
1.825,1.8,0.825,-67.5,-0.525,29.586,5.619
1.825,1.8,0.825,-22.5,-0.525,18.42,9.112
1.825,1.8,0.825,22.5,-0.525,28.011,11.304
1.825,1.8,0.825,67.5,-0.525,20.258,4.626
1.825,1.8,0.825,112.5,-0.525,20.742,5.203
1.825,1.8,0.825,157.5,-0.525,14.517,3.783
1.825,1.8,0.825,-157.5,-0.3,16.791,3.611
1.825,1.8,0.825,-112.5,-0.3,39.217,7.314
1.825,1.8,0.825,-67.5,-0.3,50.434,6.753
1.825,1.8,0.825,-22.5,-0.3,62.369,18.643
1.825,1.8,0.825,22.5,-0.3,27.319,12.181
1.825,1.8,0.825,67.5,-0.3,46.943,6.501
1.825,1.8,0.825,112.5,-0.3,45.592,7.906
1.825,1.8,0.825,157.5,-0.3,24.85,4.408
1.825,1.8,0.825,-157.5,-0.1,47.071,5.736
1.825,1.8,0.825,-112.5,-0.1,62.049,8.902
1.825,1.8,0.825,-67.5,-0.1,53.225,6.593
1.825,1.8,0.825,-22.5,-0.1,39.213,8.83
1.825,1.8,0.825,22.5,-0.1,31.009,7.823
1.825,1.8,0.825,67.5,-0.1,42.363,5.846
1.825,1.8,0.825,112.5,-0.1,61.502,8.861
1.825,1.8,0.825,157.5,-0.1,40.471,5.306
1.825,1.8,0.825,-157.5,0.1,45.701,5.68
1.825,1.8,0.825,-112.5,0.1,46.054,7.676
1.825,1.8,0.825,-67.5,0.1,59.997,6.81
1.825,1.8,0.825,-22.5,0.1,47.272,8.479
1.825,1.8,0.825,22.5,0.1,41.546,7.93
1.825,1.8,0.825,67.5,0.1,54.774,6.49
1.825,1.8,0.825,112.5,0.1,66.186,9.26
1.825,1.8,0.825,157.5,0.1,43.542,5.541
1.825,1.8,0.825,-157.5,0.3,51.128,6.096
1.825,1.8,0.825,-112.5,0.3,56.067,9.441
1.825,1.8,0.825,-67.5,0.3,56.489,7.376
1.825,1.8,0.825,-22.5,0.3,67.104,12.436
1.825,1.8,0.825,22.5,0.3,32.211,8.522
1.825,1.8,0.825,67.5,0.3,54.108,7.213
1.825,1.8,0.825,112.5,0.3,52.421,9.121
1.825,1.8,0.825,157.5,0.3,45.017,5.712
1.825,1.8,0.825,-157.5,0.5,50.87,5.875
1.825,1.8,0.825,-112.5,0.5,71.953,10.78
1.825,1.8,0.825,-67.5,0.5,59.604,10.333
1.825,1.8,0.825,-22.5,0.5,34.285,9.823
1.825,1.8,0.825,22.5,0.5,53.72,12.361
1.825,1.8,0.825,67.5,0.5,54.269,9.845
1.825,1.8,0.825,112.5,0.5,60.256,9.841
1.825,1.8,0.825,157.5,0.5,61.343,6.464
1.825,1.8,0.825,-157.5,0.675,57.555,7.331
1.825,1.8,0.825,-112.5,0.675,64.252,10.051
1.825,1.8,0.825,-67.5,0.675,30.304,12.477
1.825,1.8,0.825,-22.5,0.675,39.746,8.99
1.825,1.8,0.825,22.5,0.675,30.025,7.796
1.825,1.8,0.825,67.5,0.675,60.304,17.715
1.825,1.8,0.825,112.5,0.675,46.336,8.512
1.825,1.8,0.825,157.5,0.675,50.702,6.872
1.825,1.8,0.825,-157.5,0.825,53.707,7.65
1.825,1.8,0.825,-112.5,0.825,39.649,7.295
1.825,1.8,0.825,-67.5,0.825,47.071,8.875
1.825,1.8,0.825,-22.5,0.825,38.603,7.093
1.825,1.8,0.825,22.5,0.825,36.933,6.936
1.825,1.8,0.825,67.5,0.825,40.795,8.252
1.825,1.8,0.825,112.5,0.825,45.942,7.859
1.825,1.8,0.825,157.5,0.825,37.392,6.37
1.825,1.8,0.825,-157.5,0.95,41.404,9.046
1.825,1.8,0.825,-112.5,0.95,53.494,10.877
1.825,1.8,0.825,-67.5,0.95,48.185,9.48
1.825,1.8,0.825,-22.5,0.95,52.727,9.429
1.825,1.8,0.825,22.5,0.95,58.978,9.982
1.825,1.8,0.825,67.5,0.95,47.473,9.409
1.825,1.8,0.825,112.5,0.95,50.565,10.572
1.825,1.8,0.825,157.5,0.95,47.187,9.662
1.875,1.8,0.8128,-157.5,-0.775,3.652,2.657
1.875,1.8,0.8128,-112.5,-0.775,8.747,4.784
1.875,1.8,0.8128,-67.5,-0.775,14.983,6.915
1.875,1.8,0.8128,-22.5,-0.775,8.758,5.992
1.875,1.8,0.8128,22.5,-0.775,7.328,5.476
1.875,1.8,0.8128,67.5,-0.775,11.493,6.047
1.875,1.8,0.8128,112.5,-0.775,13.286,5.904
1.875,1.8,0.8128,157.5,-0.775,7.32,3.767
